시설명,X,Y
프란치스코의집 단기거주시설,201719.89842298356,560847.2144148231
광진구수어통역센터,208204.9092315874,549436.095161523
초록등대장애인보호작업장,183320.30209225745,550778.0070563842
강동구수어통역센터,211074.4361451299,547688.7773034826
강서나누리센터,183566.45738601903,551485.3470837328
구립서대문장애인공동생활가정,194133.5936113192,554736.3527132218
갑을장애인주간보호센터,192702.95370462435,542003.5126000338
군자작은예수의집,207653.743093077,549695.5364352542
종로장애인복지관,197334.21846062772,553837.4960558093
꿈터장애인주간보호센터,195055.02363044012,542354.3555415602
함재보호작업장,210039.75290035305,545077.0135300866
센터봄,212881.7463515493,548387.4756663828
동천하우스6,205892.64095925336,562821.1043821862
사회복지법인 에덴복지재단 형원,172885.70034142217,570985.1657212377
덕유린장애인단기보호센터,201485.64507071325,552907.6384448316
성산푸른초장단기보호시설,184366.64320427625,552245.98439654
성산푸른초장주간보호시설,184366.64320427625,552245.98439654
보라향그룹홈,192009.7698647288,556440.2770229676
열린마음,186299.26567541723,548779.6521780629
늘푸름보호작업장,183795.097402504,543736.4611452676
희망일굼터,186793.3301063512,545874.6433075848
강서뇌성마비 주간보호,183566.10331616004,552792.6418377574
내일을꿈꾸는사람들2호,204648.35398801308,563932.7007639506
중증장애인다수고용사업장굿윌스토어밀알도봉점,204182.9702978668,563329.7304303336
우리마포재활치료센터,194891.74029240635,550704.4274232584
서울특별시중구장애인복지관,202023.0938177442,551734.7159376122
금천구립장애인보호작업장,189997.55445534884,539747.8883185439
너나울공동생활가정,201323.74857665427,559673.0146793012
참사랑너나울주간보호센터,202092.2266184587,560133.4361963766
동문엔터프라이즈,206186.1812687562,552298.5417596299
강서구희망센터,185992.41876574527,549325.6375525965
늘푸른집,183383.32966162256,552019.1018095588
하상점자도서관,206636.03868862,543674.3661908386
광림주간보호센터,202367.6300298289,547195.1803202523
빛나눔보호작업장,189863.33928883687,554615.7647395222
남산골주간보호센터,198833.22248413623,551027.3456887634
영광시각장애인모바일점자도서관,195499.23141334543,555072.6279251041
강북장애인종합복지관주간보호시설,203449.0988679753,558791.5486644526
밀알그린보호작업장,209168.2077280555,543248.6595002919
강남 행복의집,202079.55978244284,546357.0149923369
강동행복의집,212647.2615182515,549886.0440870669
도봉단기보호시설,204337.8990789921,563049.9816065643
그린도봉주간보호센터,203415.8971561549,561855.7176861579
함께하네,203471.6289449481,562825.7165901901
해피죤아동발달지원센터,212741.71308313435,549693.8124145465
소망그룹홈4,202784.87314605,547218.2951060652
소망그룹홈3,202784.87314605,547218.2951060652
소망그룹홈2,202745.8860689616,547177.3832425555
루치아 공동생활가정,195226.04164988935,548569.5749668529
맑은샘장애인단기거주시설,186233.96971556157,546686.7595840219
여호와닛시의집,183270.359797789,551728.9373458066
서울곰두리체육센터,211688.48922897005,544735.7378695069
H2빌,183342.08387811424,553882.3690919705
서울시각장애인생활이동지원센터,194926.03840741343,545065.8777950954
공감보호작업장,205266.86916342756,549290.3392172072
행복플러스보호작업장,202752.9927698433,556610.5482345693
행복플러스 단기보호시설,202752.9927698433,556610.5482345693
비움,207440.30239742,544696.3383735693
장애인내일키움직업교육센터,194206.66935034865,553120.7829965999
오뚜기직업재활센터,191427.8689615247,546851.6041156186
하늘아래주간보호시설,186212.9010130427,544156.2771443137
