시군구명,시설명,시설주소,시설종류명(시설유형),정원(수용인원),현인원,X,Y
강북구,효정,서울특별시 강북구 삼양로77길 38(수유동),(장애인) 장애인근로사업장,30.0,39.0,201427.13730863325,558875.150178559
강동구,한다솜장애인공동생활가정,서울특별시 강동구 아리수로74길 31-0201호,(장애인) 장애인공동생활가정,4.0,4.0,214219.5685000524,551326.7755161502
강서구,다사랑(대한정신보건가족협회),서울특별시 강서구 개화동로7길 3-16,(장애인) 장애인보호작업장,30.0,29.0,182262.97025188274,553479.9499625026
강북구,프란치스코의집 단기거주시설,서울특별시 강북구 노해로23길 88-18 (수유동),(장애인) 장애인단기거주시설,12.0,10.0,201719.89842298353,560847.2144148231
광진구,광진구수어통역센터,서울특별시 광진구 아차산로 4173층 (구의동)(구의동),(장애인) 수화통역센터,23.0,46.0,208204.9092315874,549436.095161523
강서구,초록등대장애인보호작업장,"서울특별시 강서구 송정로1길 19베이스빌딩, 2층 (공항동)",(장애인) 장애인보호작업장,36.0,29.0,183320.30209225745,550778.0070563842
강동구,강동구수어통역센터,서울특별시 강동구 성내로 526층 (성내동),(장애인) 수화통역센터,0.0,6038.0,211074.4361451299,547688.7773034826
강서구,강서나누리센터,서울특별시 강서구 공항대로7가길 21-3,(장애인) 장애인보호작업장,20.0,30.0,183566.45738601906,551485.3470837328
서대문구,구립서대문장애인공동생활가정,서울특별시 서대문구 연희로41나길 5-6202호 (홍은동),(장애인) 장애인공동생활가정,4.0,4.0,194133.59361131917,554736.3527132218
관악구,갑을장애인주간보호센터,서울특별시 관악구 난우16길 13-72층 (신림동),(장애인) 장애인주간보호시설,15.0,11.0,192702.95370462435,542003.5126000338
광진구,군자작은예수의집,서울특별시 광진구 자양로35길 7-7군자작은예수의집 (구의동),(장애인) 장애인단기거주시설,10.0,10.0,207653.743093077,549695.5364352542
종로구,종로장애인복지관,서울특별시 종로구 자하문로 89,(장애인) 장애인복지관,0.0,1345.0,197334.21846062774,553837.4960558093
관악구,꿈터장애인주간보호센터,서울특별시 관악구 쑥고개로13길24 (봉천동),(장애인) 장애인주간보호시설,15.0,12.0,195055.02363044015,542354.3555415602
송파구,함재보호작업장,"서울특별시 송파구 송파대로 4121,2,4층 (송파동)",(장애인) 장애인보호작업장,25.0,17.0,210039.75290035305,545077.0135300866
강동구,센터봄,"서울특별시 강동구 천호대로1210, 4층 (둔촌동)",(장애인) 장애인단기거주시설,10.0,10.0,212881.74635154926,548387.4756663828
노원구,동천하우스6,서울특별시 노원구 한글비석로50길 12301호,(장애인) 장애인공동생활가정,4.0,4.0,205892.64095925336,562821.1043821862
구로구,사회복지법인 에덴복지재단 형원,경기도 파주시 소라지로195번길47-20 (신촌동),(장애인) 장애인근로사업장,50.0,38.0,172885.70034142217,570985.1657212377
종로구,덕유린장애인단기보호센터,서울특별시 종로구 지봉로12가길 49101호 (숭인동)(숭인동),(장애인) 장애인단기거주시설,10.0,10.0,201485.64507071325,552907.6384448316
강서구,성산푸른초장단기보호시설,서울특별시 강서구 양천로30길 142층,(장애인) 장애인단기거주시설,10.0,12.0,184366.64320427625,552245.98439654
강서구,성산푸른초장주간보호시설,서울특별시 강서구 양천로30길 143층,(장애인) 장애인주간보호시설,15.0,16.0,184366.64320427625,552245.98439654
은평구,보라향그룹홈,서울특별시 은평구 갈현로15길 11-13301호 (구산동),(장애인) 장애인공동생활가정,4.0,4.0,192009.76986472882,556440.2770229676
강서구,열린마음,"서울특별시 강서구 초록마을로34길61, 201호 (화곡동)",(장애인) 장애인공동생활가정,4.0,4.0,186299.26567541723,548779.6521780629
구로구,늘푸름보호작업장,서울특별시 구로구 부일로1나길38(온수동),(장애인) 장애인보호작업장,40.0,37.0,183795.097402504,543736.4611452676
양천구,희망일굼터,"서울특별시 양천구 신정로267 (신정동, 양천벤처타운 제804호, B205호))",(장애인) 장애인보호작업장,40.0,34.0,186793.33010635118,545874.6433075848
강서구,강서뇌성마비 주간보호,서울특별시 강서구 방화대로45길 692층,(장애인) 장애인주간보호시설,12.0,12.0,183566.10331616004,552792.6418377574
